		"zone_redfall"											"Осенний Хребет"
		"redfall_castle_crimson_flood"									"Crimson Flood"

		"DOTA_Tooltip_raging_shaman_passive"							"Дикий воин"

		"crimsyth_ghost_of_perdition"									"Призрак проклятий"

		"DOTA_Tooltip_ability_shipyard_pirate_archer_ability"			"Searing Arrows"
		"DOTA_Tooltip_ability_shipyard_pirate_archer_ability_Description"	"Атаки наносят дополнительный магический урон и поджигают цель."
		"DOTA_Tooltip_ability_shipyard_pirate_archer_ability_magic_damage_on_hit"	"ДОП. МАГИЧЕСКИЙ УРОН, % ОТ ВСЕГО УРОНА:"
		"DOTA_Tooltip_ability_shipyard_pirate_archer_ability_burn_damage_per_tick"	"УРОН ОЖОГА:"

		"redfall_castle_effigy_of_fortunis"								"Статуя Фортуниса"

		"DOTA_Tooltip_ability_redfall_fortunis_passive"					"Fortune's Blessing"
		"DOTA_Tooltip_ability_redfall_fortunis_passive_Description"		"Уклоняется от 50% атак, имеет 50% сопротивление магии."

		"DOTA_Tooltip_ability_fortunis_effigy_static_remnant"			"Static Remnant"
		"DOTA_Tooltip_ability_fortunis_effigy_static_remnant_Description"	"Оставляет грозовой след, который взрывается при контакте с врагом."
		"DOTA_Tooltip_ability_fortunis_effigy_static_remnant_static_remnant_damage"	"УРОН:"

		"redfall_maze_ghost"											"Призрак сокровищ"
		"maze_ghost_dialogue"											"Можно открыть только одну дверь! Выбирай мудро!"

		"redfall_ethereal_revenant"										"Потусторонний призрак"

		"redfall_lava_behemoth"											"Лавовый гигант"

		"DOTA_Tooltip_ability_redfall_ethereal_revenant_passive"				"Revenant Link"
		"DOTA_Tooltip_ability_redfall_ethereal_revenant_passive_Description"	"Связывает ближайших врагов, замедляя их и снижая их урон."

		"DOTA_Tooltip_modifier_ethereal_revenant_link_boss"					"Revenant Link"

		"DOTA_Tooltip_ability_magic_immune_breakable_ability_mega"		"Magic Ward"
		"DOTA_Tooltip_ability_magic_immune_breakable_ability_mega_Description"	"Наделяется щитом, дающим иммунитет к магии. Несколько успешных атак ломают щит."	
		"DOTA_Tooltip_ability_magic_immune_breakable_ability_mega_stacks"		"ЗАРЯДОВ:"

		"DOTA_Tooltip_ability_mega_steadfast"							"Mega Steadfast"
		"DOTA_Tooltip_ability_mega_steadfast_Description"				"Любой входящий урон не отнимет более определённого процента от максимального запаса здоровья."
		"DOTA_Tooltip_ability_mega_steadfast_max_damage"				"МАКС. УРОН, % ОТ МАКС. ЗДОРОВЬЯ:"

		"redfall_crimsyth_castle_grounds_guardian"						"Страж сада замка"

		"DOTA_Tooltip_ability_redfall_garden_watcher_nuke"				"Equinox Rift"
		"DOTA_Tooltip_ability_redfall_garden_watcher_nuke_Description"	"Меняется местами с выбранной целью."

		"DOTA_Tooltip_ability_redfall_garden_watcher_passive"			"Pure Resist"
		"DOTA_Tooltip_ability_redfall_garden_watcher_passive_Description"	"Отвергает значительную часть магического и чистого урона из всех источников. Получаемый физический урон значительно увеличен."
		"DOTA_Tooltip_ability_redfall_garden_watcher_passive_pure_resist"	"СОПРОТИВЛЕНИЕ %:"
		"DOTA_Tooltip_ability_redfall_garden_watcher_passive_physical_amp"	"ДОП. ФИЗ. УРОН ПО СУЩЕСТВУ %:"

		"DOTA_Tooltip_ability_redfall_prince_elthezun_ability"			"Arcane Sparkle"
		"DOTA_Tooltip_ability_redfall_prince_elthezun_ability_Description"	"Постоянно выпускает поток искр в случайном направлении, который наносяит урон и сжигает ману."
		"DOTA_Tooltip_ability_redfall_prince_elthezun_ability_damage"		"УРОН:"
		"DOTA_Tooltip_ability_redfall_prince_elthezun_ability_mana_drain"	"СЖИГАЕТ МАНЫ:"

		"DOTA_Tooltip_ability_majinaq_mana_break"						"Mana Break"
		"DOTA_Tooltip_ability_majinaq_mana_break_Description"			"С каждой атакой сжигает часть маны врага, наносит дополнительный магический урон в зависимости от выжженной маны."
		"DOTA_Tooltip_ability_majinaq_mana_break_mana_per_hit"			"СЖИГАЕТ МАНЫ:"

		"redfall_crimsyth_demon_knight"									"Рыцарь - Демон Кримсит"

		"DOTA_Tooltip_ability_redfall_lava_behemoth_passive"			"Magma Waves"
		"DOTA_Tooltip_ability_redfall_lava_behemoth_passive_Description"	"Когда получает урон, отражает снаряд в сторону атакующего. Дополнительно пассивно увеличивает скорость атаки."
		"DOTA_Tooltip_ability_redfall_lava_behemoth_passive_cast_speed"	"СКОРОСТЬ ПРИМЕНЕНИЯ:"
		"DOTA_Tooltip_ability_redfall_lava_behemoth_passive_damage"		"УРОН:"

		"DOTA_Tooltip_ability_lava_behemoth_fissure"					"Behemoth Fissure"
		"DOTA_Tooltip_ability_lava_behemoth_fissure_Description"		"Создаёт непроходимую стену из застывшей магмы."
		

		"redfall_the_cannibal"											"Каннибал"

		"DOTA_Tooltip_ability_redfall_crimsyth_demonic_follower_ai"		"Demon Shell"
		"DOTA_Tooltip_ability_redfall_crimsyth_demonic_follower_ai_Description"		"Увеличено сопротивление магии."
		"DOTA_Tooltip_ability_redfall_crimsyth_demonic_follower_ai_magic_resist"	"ДОП. СОПРОТИВЛЕНИЕ МАГИИ:"

		"redfall_demonic_follower"										"Демонический последователь"

		"redfall_crimsyth_castle_boss"									"Лорд Скарлот"
		"crimsyth_sorceress"											"Леди Дахлия"

		"redfall_castle_boss_dialogue_1"											"Тебе было ясно сказано пойти прочь."
		"redfall_castle_boss_dialogue_2"											"Багровые волны осени несут кровь невинных жертв. Это земля страданий и упадка."
		"redfall_castle_boss_dialogue_3"											"Доминион наш! Жизнь больше не может сопротивляться скверне."
		"redfall_castle_boss_dialogue_4"											"Идём! Почувствуешь всю ужасающую мощь силы!"
		"redfall_castle_boss_dialogue_5"											"Пленительно!"

		"DOTA_Tooltip_modifier_crimsyth_recruiter_armor_loss"						"Armor Sap"
		"DOTA_Tooltip_modifier_crimsyth_recruiter_armor_loss_Description"			"Снижение брони"

		"DOTA_Tooltip_ability_item_redfall_crimsyth_demon_relic_normal"		"Демоническая реликвия Кримсит"
		"item_redfall_crimsyth_demon_relic_normal_desc"						"Открывает портал в замок Кримсит, расположенный рядом со входом в фермы."

		"DOTA_Tooltip_ability_item_redfall_crimsyth_demon_relic_elite"		"Демоническая реликвия Кримсит"
		"item_redfall_crimsyth_demon_relic_elite_desc"						"Открывает портал в замок Кримсит, расположенный рядом со входом в фермы."

		"DOTA_Tooltip_ability_item_redfall_crimsyth_demon_relic_legend"		"Демоническая реликвия Кримсит"
		"item_redfall_crimsyth_demon_relic_legend_desc"						"Открывает портал в замок Кримсит, расположенный рядом со входом в фермы."

		"DOTA_Tooltip_ability_item_redfall_spirit_ruby_normal"			"Рубин Осеннего Духа"
		"item_redfall_spirit_ruby_normal_desc"							"Использование: Активирует Равноденствие на карте Redfall Ridge. В этом режиме монстры Парагона появляются в 3 раза чаще, сопротивление и урон всех существ удвоены, увеличен шанс выпадения предметов редкости Immortal. Получаемые Мифрильные Осколки утроены, получаемые Темные Кристаллы удвоены. Оптимально активировать в начале игры, в стартовой зоне."

		"DOTA_Tooltip_ability_item_redfall_spirit_ruby_elite"			"Рубин Осеннего Духа"
		"item_redfall_spirit_ruby_elite_desc"							"Использование: Активирует Равноденствие на карте Redfall Ridge. В этом режиме монстры Парагона появляются в 3 раза чаще, сопротивление и урон всех существ удвоены, увеличен шанс выпадения предметов редкости Immortal. Получаемые Мифрильные Осколки утроены, получаемые Темные Кристаллы удвоены. Оптимально активировать в начале игры, в стартовой зоне."
		
		"DOTA_Tooltip_ability_item_redfall_spirit_ruby_legend"			"Рубин Осеннего Духа"
		"item_redfall_spirit_ruby_legend_desc"							"Использование: Активирует Равноденствие на карте Redfall Ridge. В этом режиме монстры Парагона появляются в 3 раза чаще, сопротивление и урон всех существ удвоены, увеличен шанс выпадения предметов редкости Immortal. Получаемые Мифрильные Осколки утроены, получаемые Темные Кристаллы удвоены. Оптимально активировать в начале игры, в стартовой зоне."
		
		"redfall_equinox"												"Равноденствие"

		"redfall_ancient_tree"											"Осквернённое Мировое Древо"
		"redfall_ancient_tree_summon"									"Павший саженец"
		
		"DOTA_Tooltip_ability_ancient_tree_passive"						"Seed Rupture"
		"DOTA_Tooltip_ability_ancient_tree_passive_Description"			"Поток листвы, задевающий ближайших врагов оставляет складывающийся дебафф, который снижает дальность обзора, броню и скорость передвижения."	
		"DOTA_Tooltip_ability_ancient_tree_passive_vision_loss"			"СНИЖЕНИЕ ДАЛЬНОСТИ ОБЗОРА:"
		"DOTA_Tooltip_ability_ancient_tree_passive_armor_loss"			"СНИЖЕНИЕ БРОНИ:"
		"DOTA_Tooltip_ability_ancient_tree_passive_movespeed_loss"		"СНИЖЕНИЕ СКОРОСТИ ПЕРЕДВИЖЕНИЯ, %:"

		"DOTA_Tooltip_modifier_ancient_tree_vision"						"Seed Rupture"
		"DOTA_Tooltip_modifier_ancient_tree_vision_Description"			"Снижен обзор, броня и скорость передвижения"

		"DOTA_Tooltip_ability_ancient_tree_summon"						"Soul of the Forest"
		"DOTA_Tooltip_ability_ancient_tree_summon_Description"			"Призывает на свою сторону армию саженцев Мирового Древа. Каждый живой саженец снижает входящий урон Осквернённого Мирового Древа на 5%."

		"DOTA_Tooltip_ability_ancient_tree_ground_slam"					"Forest Quake"	
		"DOTA_Tooltip_ability_ancient_tree_ground_slam_Description"		"Со всей силы бьёт по земле, оглушая и нанося урон всем задетым врагам в области действия."
		"DOTA_Tooltip_ability_ancient_tree_ground_slam_damage"			"УРОН:"	

		"DOTA_Tooltip_ability_ancient_tree_summon_leech_seed"			"Redfall Leech Seed"
		"DOTA_Tooltip_ability_ancient_tree_summon_leech_seed_Description"	"Сажает в выбранную цель отравляющее семя, которое с каждым пульсом исцеляет Осквернённое Мировое Древо и всю его армию на % от макс. здоровья."	
		"DOTA_Tooltip_ability_ancient_tree_summon_leech_seed_heal_percent"	"ЛЕЧЕНИЕ %:"
		"DOTA_Tooltip_ability_ancient_tree_summon_leech_seed_heal_percent_boss"	"ЛЕЧЕНИЕ МИРОВОГО ДРЕВА %:"
		"DOTA_Tooltip_ability_ancient_tree_summon_leech_seed_damage_per_tick"	"УРОН В СЕКУНДУ:"

		"DOTA_Tooltip_modifier_summon_leech_seed_debuff"				"Redfall Leech Seed"
		"DOTA_Tooltip_modifier_summon_leech_seed_debuff_Description"	"Получает урон и исцеляет Мировое Древо и всю его армию."
		
		"DOTA_Tooltip_ability_redfall_fade_bolt"						"Fade Bolt"
		"DOTA_Tooltip_ability_redfall_fade_bolt_Description"			"Наносит урон и ослабляет цель."
		"DOTA_Tooltip_ability_redfall_fade_bolt_damage"					"УРОН:"
		"DOTA_Tooltip_ability_redfall_fade_bolt_hero_attack_damage_reduction"	"СНИЖЕНИЕ АТАКИ:"
		"DOTA_Tooltip_ability_redfall_fade_bolt_duration"						"ДЛИТЕЛЬНОСТЬ:"
