		"zone_redfall"											"Redfall Ridge"
		"DOTA_Tooltip_ability_redfall_garden_watcher_passive"			"Pure Resist"
		"DOTA_Tooltip_ability_redfall_garden_watcher_passive_Description"	"Repels damage from magic or pure sources. Takes increased damage from physical."
		"DOTA_Tooltip_ability_redfall_garden_watcher_passive_pure_resist"	"RESIST %:"
		"DOTA_Tooltip_ability_redfall_garden_watcher_passive_physical_amp"	"EXTRA PHYSICAL %:"

		"DOTA_Tooltip_ability_redfall_prince_elthezun_ability"			"Arcane Sparkle"
		"DOTA_Tooltip_ability_redfall_prince_elthezun_ability_Description"	"Emits sparks in random directions that deal damage and drain mana."
		"DOTA_Tooltip_ability_redfall_prince_elthezun_ability_damage"		"DAMAGE:"
		"DOTA_Tooltip_ability_redfall_prince_elthezun_ability_mana_drain"	"MANA DRAIN:"

		"DOTA_Tooltip_ability_majinaq_mana_break"						"Mana Break"
		"DOTA_Tooltip_ability_majinaq_mana_break_Description"			"Attacks burn mana and deal magic damage based on the mana drained."
		"DOTA_Tooltip_ability_majinaq_mana_break_mana_per_hit"			"MANA BURN:"

		"redfall_crimsyth_demon_knight"									"Crimsth Demon Knight"

		"DOTA_Tooltip_ability_redfall_lava_behemoth_passive"			"Magma Waves"
		"DOTA_Tooltip_ability_redfall_lava_behemoth_passive_Description"	"When taking damage, reverberate a projectile towards the attacker. Also passively increases attack speed."
		"DOTA_Tooltip_ability_redfall_lava_behemoth_passive_cast_speed"	"CAST SPEED:"
		"DOTA_Tooltip_ability_redfall_lava_behemoth_passive_damage"		"DAMAGE:"

		"DOTA_Tooltip_ability_lava_behemoth_fissure"					"Behemoth Fissure"
		"DOTA_Tooltip_ability_lava_behemoth_fissure_Description"		"Creates a wall of solid magma that cannot be walked over."
		

		"redfall_the_cannibal"											"The Cannibal"

		"DOTA_Tooltip_ability_redfall_crimsyth_demonic_follower_ai"		"Demon Shell"
		"DOTA_Tooltip_ability_redfall_crimsyth_demonic_follower_ai_Description"		"Increases magic resistance."
		"DOTA_Tooltip_ability_redfall_crimsyth_demonic_follower_ai_magic_resist"	"MAGIC RESIST:"

		"redfall_demonic_follower"										"Demonic Follower"

		"redfall_crimsyth_castle_boss"									"Lord Scarloth"
		"crimsyth_sorceress"											"Lady Dahlia"

		"redfall_castle_boss_dialogue_1"											"You were told to leave."
		"redfall_castle_boss_dialogue_2"											"The crimson tides of Redfall carry the blood of innocents. This is a land of suffering and decay."
		"redfall_castle_boss_dialogue_3"											"Dominion is ours. Life cannot resist the Corruption any longer."
		"redfall_castle_boss_dialogue_4"											"Come! Experience the thrill of true power!"
		"redfall_castle_boss_dialogue_5"											"Captivating!"

		"DOTA_Tooltip_modifier_crimsyth_recruiter_armor_loss"						"Armor Sap"
		"DOTA_Tooltip_modifier_crimsyth_recruiter_armor_loss_Description"			"Stacking armor loss"

		"DOTA_Tooltip_ability_item_redfall_crimsyth_demon_relic_normal"		"Crimsyth Demon Relic"
		"item_redfall_crimsyth_demon_relic_normal_desc"						"Activates the portal to Crimsyth Castle, located near the entrance to the Farmlands."

		"DOTA_Tooltip_ability_item_redfall_crimsyth_demon_relic_elite"		"Crimsyth Demon Relic"
		"item_redfall_crimsyth_demon_relic_elite_desc"						"Activates the portal to Crimsyth Castle, located near the entrance to the Farmlands."

		"DOTA_Tooltip_ability_item_redfall_crimsyth_demon_relic_legend"		"Crimsyth Demon Relic"
		"item_redfall_crimsyth_demon_relic_legend_desc"						"Activates the portal to Crimsyth Castle, located near the entrance to the Farmlands."

		"DOTA_Tooltip_ability_item_redfall_spirit_ruby_normal"			"Redfall Spirit Ruby"
		"item_redfall_spirit_ruby_normal_desc"							"Use: Activates the Equinox in Redfall Ridge. During the Equinox there is 3x paragon spawn rate, 2x mob damage and resistance, increased immortal drop rate, 3x mithril and 2x arcane crystal gain."

		"DOTA_Tooltip_ability_item_redfall_spirit_ruby_elite"			"Redfall Spirit Ruby"
		"item_redfall_spirit_ruby_elite_desc"							"Use: Activates the Equinox in Redfall Ridge. During the Equinox there is 3x paragon spawn rate, 2x mob damage and resistance, increased immortal drop rate, 3x mithril and 2x arcane crystal gain."
		
		"DOTA_Tooltip_ability_item_redfall_spirit_ruby_legend"			"Redfall Spirit Ruby"
		"item_redfall_spirit_ruby_legend_desc"							"Use: Activates the Equinox in Redfall Ridge. During the Equinox there is 3x paragon spawn rate, 2x mob damage and resistance, increased immortal drop rate, 3x mithril and 2x arcane crystal gain."
		
		"redfall_equinox"												"Equinox"

		"redfall_ancient_tree"											"Defiler's World Tree"
		"redfall_ancient_tree_summon"									"Fall Sapling"
		
		"DOTA_Tooltip_ability_ancient_tree_passive"						"Seed Rupture"
		"DOTA_Tooltip_ability_ancient_tree_passive_Description"			"A leafy projectile hits all nearby enemies, leaving a stacking debuff that reduces vision radius, armor, and movespeed."	
		"DOTA_Tooltip_ability_ancient_tree_passive_vision_loss"			"VISION LOSS:"
		"DOTA_Tooltip_ability_ancient_tree_passive_armor_loss"			"ARMOR LOSS:"
		"DOTA_Tooltip_ability_ancient_tree_passive_movespeed_loss"		"MOVESPEED LOSS %:"

		"DOTA_Tooltip_modifier_ancient_tree_vision"						"Seed Rupture"
		"DOTA_Tooltip_modifier_ancient_tree_vision_Description"			"Reduced vision, armor, and movespeed"

		"DOTA_Tooltip_ability_ancient_tree_summon"						"Soul of the Forest"
		"DOTA_Tooltip_ability_ancient_tree_summon_Description"			"Summons an army of saplings that fight for the World Tree. Each sapling that is alive reduces damage taken by the World Tree by 5%."

		"DOTA_Tooltip_ability_ancient_tree_ground_slam"					"Forest Quake"	
		"DOTA_Tooltip_ability_ancient_tree_ground_slam_Description"		"Smashes the ground, stunning and damaging enemies in the area."
		"DOTA_Tooltip_ability_ancient_tree_ground_slam_damage"			"DAMAGE:"	

		"DOTA_Tooltip_ability_ancient_tree_summon_leech_seed"			"Redfall Leech Seed"
		"DOTA_Tooltip_ability_ancient_tree_summon_leech_seed_Description"	"Plants a debuff on the target that periodically heals the World Tree and his entire army based on a % of their max health."	
		"DOTA_Tooltip_ability_ancient_tree_summon_leech_seed_heal_percent"	"HEAL %:"
		"DOTA_Tooltip_ability_ancient_tree_summon_leech_seed_heal_percent_boss"	"WORLD TREE HEAL %:"
		"DOTA_Tooltip_ability_ancient_tree_summon_leech_seed_damage_per_tick"	"DAMAGE PER SECOND:"

		"DOTA_Tooltip_modifier_summon_leech_seed_debuff"				"Redfall Leech Seed"
		"DOTA_Tooltip_modifier_summon_leech_seed_debuff_Description"	"Taking damage and healing the World Tree."
		
		"redfall_lava_room_ice_switch"					"Lava Switch"
		"redfall_dragonkin"								"Redfall Dragonkin"
		"redfall_soul_scar"								"Soul Scar"
		"DOTA_Tooltip_ability_redfall_fade_bolt"						"Fade Bolt"
		"DOTA_Tooltip_ability_redfall_fade_bolt_Description"			"Withering charge deals damage and weakens target."
		"DOTA_Tooltip_ability_redfall_fade_bolt_damage"					"DAMAGE:"
		"DOTA_Tooltip_ability_redfall_fade_bolt_hero_attack_damage_reduction"	"ATTACK REDUCTION:"
		"DOTA_Tooltip_ability_redfall_fade_bolt_duration"						"DURATION:"
		
		"redfall_exploding_turtle"						"Dynamite Turtle"
		"redfall_castle_mini_golem"						"Lesser Golem"
		"redfall_castle_big_golem"						"Greater Golem"
		"redfall_shipyard_crimsyth_knight_champ"		"Crimsyth Captain"
		"shipyard_armored_bear_guard"					"Armored Bear"
		"redfall_shipyard_pirate_gnoll"					"Pirate Gnoll"
		"redfall_shipyard_basic_skeleton"				"Shipyard Skeleton"
		"redfall_shipyard_boat_handler"					"Haunted Helmsman"
		"crimsyth_raging_shaman"						"Raging Shaman"
		"redfall_crimsyth_castle_boss_illusion"			"Corrupted Reflection"
		"redfall_castle_avian_purifier"					"Avian Purifier"
		"redfall_crimsyth_thug"							"Crimsyth Thug"
		"prince_elthezun"								"Prince Elthezun"
